susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
6236,1272,2493,48046,0.034801855513582974,511,3.6512845468997512,0.01
6142,1239,2566,48100,0.03505859480804133,511,3.6242717014307537,0.01
6018,1237,2613,48177,0.035260788126366197,513,3.597528984416446,0.01
5922,1245,2642,48236,0.03545832124651055,513,3.571053694572282,0.01
5853,1223,2684,48285,0.035605465133854555,513,3.544843157626559,0.01
5764,1210,2731,48339,0.0357283903482118,514,3.5188947260502936,0.01
5706,1160,2788,48389,0.035886173066932925,515,3.4932057787897905,0.01
5643,1125,2817,48458,0.036011110404330415,515,3.4677737210018926,0.01
5582,1092,2849,48520,0.03618759716773927,515,3.4425959837918736,0.01
5526,1093,2849,48575,0.03641660943151434,515,3.417670023953955,0.01
5462,1074,2865,48641,0.03660140492940488,516,3.3929933237144154,0.01
5375,1070,2861,48735,0.03676093661214611,517,3.3685633904772714,0.01
5303,1069,2881,48788,0.03697087990707412,517,3.3443777565724986,0.01
5226,1038,2872,48905,0.03698453915306087,517,3.3204339790067734,0.01
5173,1014,2901,48952,0.03712272051843125,518,3.296729639216706,0.01
5146,991,2896,49007,0.03726485304668783,518,3.273262342824539,0.01
5142,965,2866,49066,0.03748251660905252,519,3.2500297193962933,0.01
5139,931,2827,49140,0.03758284400463645,521,3.2270294222023304,0.01
5123,913,2807,49192,0.03777875285048594,523,3.204259127980307,0.01
5108,919,2754,49254,0.03794364041158513,523,3.1817165367005042,0.01
5134,907,2726,49266,0.038062585989588664,525,3.159399371333499,0.01
5124,894,2708,49307,0.0381859181896007,525,3.137305377620164,0.01
5122,867,2691,49350,0.038330425716740425,528,3.1154323238439625,0.01
5106,866,2648,49409,0.038453338547025866,529,3.093778000605523,0.01
5080,883,2592,49474,0.03859550130791296,529,3.072340220599468,0.01
5079,870,2585,49493,0.03871739488671139,531,3.0511168183934734,0.01
5078,859,2550,49540,0.03883603391250357,531,3.0301056502095385,0.01
5106,811,2547,49561,0.039084270612083964,533,3.009304593707443,0.01
5113,766,2554,49591,0.03921299193685544,534,2.9887115477703685,0.01
5115,787,2497,49620,0.039397710871195646,539,2.9683244322926647,0.01
5091,780,2465,49681,0.03952332469964284,541,2.948141187969738,0.01
5109,764,2471,49673,0.03967031648332754,541,2.9281597760900406,0.01
5091,763,2408,49755,0.03985867932274069,541,2.9083781783291403,0.01
5142,762,2344,49769,0.040052855666025684,541,2.888794396545849,0.01
5144,750,2313,49810,0.04017310233971274,541,2.8694064525803906,0.01
5188,738,2287,49804,0.0402806952091718,541,2.8502123880545867,0.01
5227,687,2248,49854,0.040433992981421744,542,2.831210264174041,0.01
5264,680,2206,49863,0.04058263537359899,545,2.8123981615323004,0.01
5307,644,2174,49888,0.04077023913463443,545,2.7937741799169773,0.01
5387,606,2149,49871,0.040923858056104344,545,2.7753364381178076,0.01
5448,603,2087,49875,0.04111504421978374,545,2.7570830737366294,0.01
5514,579,2042,49877,0.0413009695170403,546,2.739012242999263,0.01
5572,550,2021,49868,0.041492216877636344,547,2.7211221205692704,0.01
5651,554,1979,49825,0.04163894114701036,549,2.7034108993635777,0.01
5701,560,1955,49793,0.04179392999227287,549,2.685876790369942,0.01
5739,552,1914,49803,0.04195427659873648,550,2.6685180224662424,0.01
5817,530,1917,49744,0.042093253200797376,550,2.65133284224158,0.01
5896,501,1865,49743,0.04222114287505756,553,2.634319513819164,0.01
5947,507,1848,49703,0.042293833697553976,553,2.6174763186809726,0.01
6030,478,1813,49682,0.04235900467473294,555,2.600801555494163,0.01
6092,482,1762,49665,0.04248570067329407,557,2.584293539939221,0.01
6162,460,1706,49672,0.04253237322013577,558,2.567950604539829,0.01
6251,439,1667,49642,0.042788571861688,559,2.551771098494431,0.01
