susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
1158,705,5518,50263,914,5.05192850869485,0.0,0.0035799697601466333
1151,789,5334,50370,914,5.05192850869485,0.0,0.003579559599027961
1149,891,5149,50447,922,5.05192850869485,0.0,0.0035790997451284542
1173,1023,5041,50398,923,5.05192850869485,0.0,0.0035785915230206805
1149,1192,4988,50303,926,5.05192850869485,0.0,0.0035780362203420833
1160,1435,5011,50023,929,5.05192850869485,0.0,0.0035774350889814727
1176,1674,5107,49672,929,5.05192850869485,0.0,0.003576789346221526
1171,2125,5273,49059,930,5.05192850869485,0.0,0.0035761001758390725
1175,2576,5538,48331,938,5.05192850869485,0.0,0.0035753687291650072
1215,3081,5981,47342,939,5.05192850869485,0.0,0.0035745961261054856
1242,3671,6446,46256,943,5.05192850869485,0.0,0.003573783456126077
1219,4232,7061,45099,947,5.05192850869485,0.0,0.0035729317792003038
1206,4912,7856,43633,951,5.05192850869485,0.0,0.003572042126724144
1172,5898,8792,41742,954,5.05192850869485,0.0,0.003571115502397827
1116,7196,10006,39284,956,5.05192850869485,0.0,0.003570152883076302
996,9005,11606,35991,960,5.05192850869485,0.0,0.003569155219589595
868,11297,13640,31789,964,5.05192850869485,0.0,0.003568123437534308
750,13844,16291,26704,969,5.05192850869485,0.0,0.0035670584380374445
607,16086,19371,21518,976,5.05192850869485,0.0,0.0035659610984935647
442,18026,22803,16293,994,5.05192850869485,0.0,0.0035648322732764657
258,18571,26534,12187,1008,5.05192850869485,0.0,0.0035636727944262864
147,18225,29970,9198,1018,5.05192850869485,0.0,0.003562483472313041
82,17304,32724,7422,1026,5.05192850869485,0.0,0.0035612650962775216
44,15807,35039,6623,1045,5.05192850869485,0.0,0.003560018435250408
29,14397,36913,6157,1062,5.05192850869485,0.0,0.0035587442383504786
25,13156,38212,6083,1082,5.05192850869485,0.0,0.0035574432354626485
24,12324,39163,5948,1099,5.05192850869485,0.0,0.0035561161377967304
13,11712,39807,5911,1115,5.05192850869485,0.0,0.0035547636384275125
13,11234,40143,6042,1126,5.05192850869485,0.0,0.003553386412816976
14,10954,40317,6128,1145,5.05192850869485,0.0,0.003551985119319245
12,10592,40549,6244,1161,5.05192850869485,0.0,0.0035505603996689866
11,10379,40578,6409,1181,5.05192850869485,0.0,0.003549112879453812
10,10075,40517,6751,1205,5.05192850869485,0.0,0.003547643168571335
15,9964,40420,6938,1221,5.05192850869485,0.0,0.003546151861671395
8,9795,40344,7176,1235,5.05192850869485,0.0,0.0035446395385840745
14,9633,40237,7421,1253,5.05192850869485,0.0,0.003543106764733915
19,9448,40093,7721,1277,5.05192850869485,0.0,0.003541554091540948
28,9315,39813,8103,1299,5.05192850869485,0.0,0.0035399820568089444
22,9355,39502,8370,1309,5.05192850869485,0.0,0.0035383911851014074
22,9298,39391,8522,1325,5.05192850869485,0.0,0.0035367819881056547
23,9279,39279,8638,1339,5.05192850869485,0.0,0.0035351549649855415
17,9375,38963,8847,1356,5.05192850869485,0.0,0.0035335106027231
22,9485,38855,8819,1377,5.05192850869485,0.0,0.0035318493764496077
17,9673,38700,8767,1401,5.05192850869485,0.0,0.0035301717497663596
20,9764,38532,8818,1424,5.05192850869485,0.0,0.003528478175055569
15,9946,38527,8633,1437,5.05192850869485,0.0,0.0035267690937817184
21,10054,38637,8397,1449,5.05192850869485,0.0,0.003525044936783673
14,10270,38722,8087,1465,5.05192850869485,0.0,0.003523306124557949
21,10269,38815,7973,1480,5.05192850869485,0.0,0.003521553067533352
17,10275,38906,7863,1497,5.05192850869485,0.0,0.003519786166337324
15,10260,39013,7754,1516,5.05192850869485,0.0,0.0035180058120543077
21,10295,38998,7710,1534,5.05192850869485,0.0,0.0035162123864763478
18,10202,39203,7577,1558,5.05192850869485,0.0,0.0035144062623462384
14,10047,39360,7560,1577,5.05192850869485,0.0,0.0035125878035934402
12,9969,39360,7616,1601,5.05192850869485,0.0,0.003510757365563022
23,9967,39366,7588,1614,5.05192850869485,0.0,0.003508915295237846
20,9917,39335,7650,1636,5.05192850869485,0.0,0.003507061931454253
19,9814,39276,7805,1644,5.05192850869485,0.0,0.0035051976051114347
22,9683,39268,7923,1662,5.05192850869485,0.0,0.0035033226393747065
21,9736,39039,8079,1683,5.330737562723179,0.0,0.003501437349872887
23,8801,40018,8015,1701,5.330737562723179,0.0,0.003499542044889998
16,8037,40710,8088,1707,5.330737562723179,0.0,0.0034976370255514213
22,7326,41201,8289,1720,5.330737562723179,0.0,0.0034957225860047176
15,6958,41168,8669,1748,5.330737562723179,0.0,0.0034937990135953272
14,6534,41085,9160,1765,5.330737562723179,0.0,0.0034918665890372237
17,6162,40876,9717,1786,5.330737562723179,0.0,0.003489925586578755
23,5905,40539,10292,1799,5.330737562723179,0.0,0.00348797627416381
26,5701,40088,10926,1817,5.330737562723179,0.0,0.003486018913588432
29,5521,39631,11549,1828,5.330737562723179,0.0,0.003484053760653075
35,5217,39182,12281,1843,5.330737562723179,0.0,0.0034820810653105874
33,5008,38571,13086,1860,5.330737562723179,0.0,0.003480101071810083
37,4827,37942,13875,1877,5.330737562723179,0.0,0.0034781140188368336
35,4615,37331,14686,1891,5.330737562723179,0.0,0.0034761201396483017
35,4459,36665,15494,1905,5.330737562723179,0.0,0.0034741196622064215
52,4357,35893,16327,1929,5.330737562723179,0.0,0.0034721128093062686
54,4258,35177,17127,1942,5.330737562723179,0.0,0.0034700997987011984
40,4050,34515,18003,1950,5.330737562723179,0.0,0.003468080843224592
55,3956,33763,18823,1961,5.330737562723179,0.0,0.003466056150908315
53,3834,33033,19663,1975,5.330737562723179,0.0,0.0034640259250979417
57,3623,32253,20629,1996,5.330737562723179,0.0,0.003461990364564911
68,3508,31403,21570,2009,5.330737562723179,0.0,0.0034599496636156433
57,3409,30554,22510,2028,5.330737562723179,0.0,0.0034579040121977614
75,3242,29852,23348,2041,5.330737562723179,0.0,0.003455853596003488
76,3208,29100,24117,2057,5.330737562723179,0.0,0.003453798596570271
90,3103,28399,24898,2068,5.330737562723179,0.0,0.0034517391913787684
88,2957,27650,25782,2081,5.330737562723179,0.0,0.0034496755539482394
103,2822,26935,26604,2094,5.330737562723179,0.0,0.0034476078539294173
109,2746,26132,27465,2106,5.330737562723179,0.0,0.003445536257194998
94,2643,25423,28278,2120,5.330737562723179,0.0,0.0034434609259276967
112,2608,24711,28993,2134,5.330737562723179,0.0,0.003441382018706074
107,2481,24053,29774,2143,5.330737562723179,0.0,0.0034392996905880805
113,2336,23398,30558,2153,5.330737562723179,0.0,0.0034372140931925033
117,2215,22808,31250,2168,5.330737562723179,0.0,0.003435125374778264
128,2131,22194,31931,2174,5.330737562723179,0.0,0.0034330336803217025
144,2083,21517,32628,2186,5.330737562723179,0.0,0.003430939151591885
168,2055,20888,33254,2193,5.330737562723179,0.0,0.0034288419272239766
167,1923,20445,33824,2199,5.330737562723179,0.0,0.0034267421427907493
167,1902,19812,34469,2208,5.330737562723179,0.0,0.0034246399308723073
161,1830,19224,35129,2214,5.330737562723179,0.0,0.003422535421123994
172,1755,18642,35764,2225,5.330737562723179,0.0,0.0034204287403426467
185,1713,18057,36373,2230,5.330737562723179,0.0,0.0034183200125311405
205,1670,17500,36943,2240,5.330737562723179,0.0,0.0034162093589613454
198,1635,16942,37531,2252,5.330737562723179,0.0,0.003414096898235506
225,1585,16383,38103,2262,5.330737562723179,0.0,0.003411982746346075
248,1500,15890,38651,2269,5.330737562723179,0.0,0.0034098670167340985
255,1467,15380,39173,2283,5.330737562723179,0.0,0.0034077498203461164
275,1386,14912,39697,2288,5.330737562723179,0.0,0.0034056312656896874
288,1355,14543,40077,2295,5.330737562723179,0.0,0.00340351145888755
286,1354,14051,40568,2299,5.330737562723179,0.0,0.0034013905037304283
268,1313,13618,41054,2305,5.330737562723179,0.0,0.003399268501728577
284,1261,13207,41497,2309,5.330737562723179,0.0,0.0033971455521620633
282,1233,12835,41889,2319,5.330737562723179,0.0,0.0033950217521298036
297,1179,12497,42264,2321,5.330737562723179,0.0,0.0033928971965974586
315,1151,12132,42633,2327,5.330737562723179,0.0,0.0033907719784441225
327,1102,11790,43006,2333,5.330737562723179,0.0,0.003388646188507923
328,1068,11436,43388,2338,5.330737562723179,0.0,0.0033865199156305004
345,1035,11092,43745,2341,5.330737562723179,0.0,0.00338439324670045
366,1004,10757,44088,2343,5.330737562723179,0.0,0.0033822662666956964
375,991,10372,44472,2348,5.330737562723179,0.0,0.0033801390587248842
396,995,10020,44793,2354,5.330737562723179,0.0,0.0033780117040677696
400,1003,9772,45022,2361,5.330737562723179,0.0,0.003375884282214656
414,949,9499,45330,2366,5.330737562723179,0.0,0.0033737568709049223
455,885,9283,45565,2370,5.330737562723179,0.0,0.003371629546164603
453,911,9046,45775,2373,5.330737562723179,0.0,0.0033695023823431245
486,918,8779,45993,2382,5.330737562723179,0.0,0.003367375452149153
484,922,8541,46227,2384,5.330737562723179,0.0,0.003365248826685625
502,856,8337,46474,2389,5.330737562723179,0.0,0.003363122575483951
522,827,8113,46705,2391,5.330737562723179,0.0,0.0033609967665374297
551,832,7912,46867,2396,5.330737562723179,0.0,0.00335887146633387
583,760,7751,47067,2397,5.330737562723179,0.0,0.0033567467398875053
605,780,7479,47291,2403,5.330737562723179,0.0,0.003354622650770112
609,801,7291,47453,2404,5.330737562723179,0.0,0.0033524992611414567
620,785,7131,47616,2406,5.330737562723179,0.0,0.0033503766317790327
669,732,6972,47772,2413,5.330737562723179,0.0,0.00334825482210711
692,719,6801,47928,2418,5.330737562723179,0.0,0.0033461338902251287
676,747,6606,48107,2422,5.330737562723179,0.0,0.0033440138929354433
698,732,6432,48271,2425,5.330737562723179,0.0,0.003341894885770454
706,715,6294,48416,2427,5.330737562723179,0.0,0.0033397769230190887
739,657,6196,48534,2432,5.330737562723179,0.0,0.0033376600577527185
802,646,6046,48628,2436,5.330737562723179,0.0,0.003335544341850486
784,678,5888,48770,2438,5.330737562723179,0.0,0.0033334298260240453
758,652,5794,48914,2440,5.330737562723179,0.0,0.0033313165598417662
775,610,5675,49055,2443,5.330737562723179,0.0,0.0033292045917523968
802,591,5576,49144,2445,5.330737562723179,0.0,0.0033270939691081914
826,622,5414,49249,2447,5.330737562723179,0.0,0.0033249847381875072
826,619,5345,49319,2449,5.330737562723179,0.0,0.003322876944216949
859,614,5223,49412,2450,5.330737562723179,0.0,0.0033207706313929707
867,608,5094,49538,2451,5.330737562723179,0.0,0.003318665842903029
892,578,4993,49640,2455,5.330737562723179,0.0,0.0033165626209462644
918,538,4916,49730,2456,5.330737562723179,0.0,0.00331446100675373
919,554,4789,49839,2457,5.330737562723179,0.0,0.003312361040608168
957,553,4678,49912,2458,5.330737562723179,0.0,0.0033102627618633645
986,557,4599,49957,2459,5.330737562723179,0.0,0.003308166208963073
1003,529,4506,50059,2461,5.330737562723179,0.0,0.0033060714194595364
1033,532,4372,50154,2467,5.330737562723179,0.0,0.0033039784300315954
1028,544,4290,50228,2468,5.330737562723179,0.0,0.003301887276502409
1046,561,4219,50261,2471,5.330737562723179,0.0,0.0032997979938568047
1077,529,4142,50337,2473,5.330737562723179,0.0,0.0032977106162582065
1066,533,4070,50416,2473,5.330737562723179,0.0,0.0032956251770652834
1072,532,3983,50496,2475,5.330737562723179,0.0,0.0032935417088481495
1054,548,3904,50573,2479,5.330737562723179,0.0,0.003291460243404279
1099,487,3881,50611,2480,5.330737562723179,0.0,0.0032893808117740618
1140,496,3827,50615,2480,5.330737562723179,0.0,0.0032873034442560066
1178,467,3782,50651,2480,5.330737562723179,0.0,0.0032852281704216562
1186,466,3755,50667,2484,5.330737562723179,0.0,0.0032831550191301665
1212,482,3699,50679,2486,5.330737562723179,0.0,0.0032810840185425725
