susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
71,2101,31994,23703,1,689,5.00432119179672,0.0,0.609012700920939,1
92,1580,30500,25682,1,704,5.00432119179672,0.0,0.6090635036897225,1
81,1233,28912,27618,1,714,5.00432119179672,0.0,0.6082879499515561,1
98,946,27352,29432,1,730,5.00432119179672,0.0,0.6089851796453283,1
105,803,25765,31143,1,742,5.00432119179672,0.0,0.6099288075608462,1
114,699,24299,32691,1,755,5.00432119179672,0.0,0.6100284275918625,1
139,646,22804,34200,1,769,5.00432119179672,0.0,0.611452744405458,1
162,625,21452,35539,1,780,5.00432119179672,0.0,0.6113866153433023,1
161,585,20126,36897,1,789,5.00432119179672,0.0,0.6107813700419564,1
190,533,18893,38146,1,796,5.00432119179672,0.0,0.6107548616720618,1
220,536,17751,39245,1,806,5.00432119179672,0.0,0.6123689874544275,1
226,542,16700,40277,1,813,5.00432119179672,0.0,0.6125656200631727,1
257,496,15722,41262,1,821,5.00432119179672,0.0,0.6100675743729261,1
267,488,14801,42177,1,825,5.00432119179672,0.0,0.6092752682338113,1
300,478,13959,42989,1,832,5.00432119179672,0.0,0.6090081207450564,1
306,466,13188,43762,1,836,5.00432119179672,0.0,0.609222259431699,1
332,453,12451,44484,1,838,5.00432119179672,0.0,0.6081832563534683,1
361,467,11714,45174,1,842,5.00432119179672,0.0,0.6106876185047694,1
411,451,11016,45834,1,846,5.00432119179672,0.0,0.6117469199951702,1
417,452,10469,46369,1,851,5.00432119179672,0.0,0.6127498905354434,1
434,454,9894,46921,1,855,5.00432119179672,0.0,0.6108425075753658,1
442,457,9350,47449,1,860,5.00432119179672,0.0,0.6134210946227716,1
468,453,8809,47966,1,862,5.00432119179672,0.0,0.6121022712520297,1
498,454,8332,48404,1,870,5.00432119179672,0.0,0.6112742882957278,1
520,424,7923,48813,1,878,5.00432119179672,0.0,0.6107588001957018,1
